date,latitude,longitude,depth,mag,net,updated,place,country,depthError
2004-09-24T14:43:11.370Z,28.565,-112.725,10,5.9,us,2016-11-10T00:46:49.446Z,Gulf of California,US,
2003-04-15T08:21:17.720Z,25.031,-109.429,10,5.5,us,2016-11-09T22:18:14.681Z,Gulf of California,US,
2003-03-12T23:41:32.920Z,26.556,-110.587,10,6.4,us,2020-01-04T02:18:25.390Z,Gulf of California,US,
2000-03-24T04:23:45.750Z,27.551,-111.303,10,5.6,us,2016-11-09T22:08:59.107Z,Gulf of California,US,
2006-09-10T14:56:08.160Z,26.319,-86.606,14,5.9,us,2016-11-10T01:28:07.497Z,Gulf of Mexico,US,
2002-09-15T08:39:32.700Z,44.833,129.923,586.3,6.4,us,2020-01-04T01:51:03.332Z,Heilongjiang, China,
2012-12-29T17:50:52.840Z,35.711,70.599,117.4,5.5,us,2015-03-24T01:42:14.762Z,Hindu Kush region, Afghanistan,
2012-07-19T07:36:35.470Z,37.248,71.375,98.4,5.6,us,2020-01-04T09:50:48.877Z,Hindu Kush region, Afghanistan,
2012-07-12T14:00:34.340Z,36.527,70.906,198,5.7,us,2015-06-30T16:59:03.981Z,Hindu Kush region, Afghanistan,
2012-06-11T05:29:11.510Z,36.023,69.351,16,5.7,us,2020-01-04T09:48:25.764Z,Hindu Kush region, Afghanistan,
2011-11-07T11:59:31.440Z,36.502,71.102,212.1,5.6,us,2020-01-04T09:30:48.910Z,Hindu Kush region, Afghanistan,4
2011-05-14T21:07:22.160Z,36.409,70.748,207.3,5.9,us,2020-01-04T09:04:21.391Z,Hindu Kush region, Afghanistan,
2011-03-21T09:49:01.580Z,36.491,70.927,190.2,5.8,us,2020-01-04T08:54:30.263Z,Hindu Kush region, Afghanistan,4.2
2010-09-17T19:21:15.010Z,36.443,70.774,220.1,6.3,us,2020-01-04T08:18:15.982Z,Hindu Kush region, Afghanistan,
2010-02-27T23:21:12.550Z,35.94,70.074,99.7,5.7,us,2020-01-04T07:42:37.970Z,Hindu Kush region, Afghanistan,4.7
2009-10-29T17:44:32.060Z,36.391,70.722,210,6.2,us,2020-01-04T07:17:52.012Z,Hindu Kush region, Afghanistan,
2009-10-22T19:51:27.520Z,36.517,70.95,185.9,6.2,us,2020-01-04T07:16:15.523Z,Hindu Kush region, Afghanistan,
2009-01-04T23:12:59.290Z,36.442,70.883,186.7,5.7,us,2020-01-04T06:45:41.389Z,Hindu Kush region, Afghanistan,3.3
2009-01-03T20:23:20.180Z,36.419,70.743,204.8,6.6,us,2020-01-04T06:44:09.269Z,Hindu Kush region, Afghanistan,
2008-12-29T03:37:41.030Z,36.389,71.075,151,5.8,us,2020-01-04T06:43:19.778Z,Hindu Kush region, Afghanistan,
2008-10-26T01:28:56.060Z,36.49,70.683,210,5.7,us,2020-01-04T06:37:40.450Z,Hindu Kush region, Afghanistan,
2008-09-06T05:47:39.910Z,36.487,70.934,191.5,5.8,us,2020-01-04T06:30:19.813Z,Hindu Kush region, Afghanistan,
2007-04-03T03:35:07.280Z,36.451,70.688,222.1,6.2,us,2020-01-04T05:15:07.708Z,Hindu Kush region, Afghanistan,4.2
2006-08-06T14:26:19.340Z,37.367,74.733,11,5.6,us,2020-01-04T04:44:39.972Z,Hindu Kush region, Afghanistan,
2006-07-29T00:11:51.340Z,37.255,68.828,34.2,5.6,us,2020-01-04T04:43:48.776Z,Hindu Kush region, Afghanistan,
2005-12-12T21:47:46.070Z,36.357,71.093,224.6,6.5,us,2020-02-06T20:53:04.912Z,Hindu Kush region, Afghanistan,
2005-07-23T14:40:25.010Z,36.387,70.718,209.1,5.5,us,2020-01-04T04:05:18.539Z,Hindu Kush region, Afghanistan,
2005-07-01T03:48:28.690Z,36.569,71.32,63.1,5.6,us,2020-01-04T04:03:07.978Z,Hindu Kush region, Afghanistan,5
2004-08-10T01:47:32.810Z,36.444,70.796,207,6,us,2020-01-04T03:17:02.961Z,Hindu Kush region, Afghanistan,
2004-04-05T21:24:04.000Z,36.512,71.029,187.1,6.6,us,2020-01-04T03:05:03.727Z,Hindu Kush region, Afghanistan,
2004-03-12T22:45:19.000Z,36.397,70.774,218,5.8,us,2020-01-04T03:02:46.194Z,Hindu Kush region, Afghanistan,
2003-03-29T11:46:48.930Z,35.976,70.585,114.1,5.9,us,2020-01-04T02:20:47.950Z,Hindu Kush region, Afghanistan,
2002-12-25T19:13:42.740Z,35.704,69.868,90.8,5.5,us,2020-01-04T02:07:13.240Z,Hindu Kush region, Afghanistan,
2002-04-12T04:00:23.740Z,35.959,69.417,10,5.9,us,2020-01-04T01:34:54.130Z,Hindu Kush region, Afghanistan,
2002-03-27T08:52:52.270Z,36.023,69.338,10,5.6,us,2020-01-04T01:32:36.662Z,Hindu Kush region, Afghanistan,
2002-03-25T14:56:33.820Z,36.062,69.315,8,6.1,us,2020-02-06T20:24:24.516Z,Hindu Kush region, Afghanistan,
2002-03-03T12:08:19.740Z,36.502,70.482,225.6,7.4,us,2020-01-04T01:29:56.752Z,Hindu Kush region, Afghanistan,
2002-03-03T12:08:07.810Z,36.429,70.438,209,6.3,us,2020-01-04T01:29:35.251Z,Hindu Kush region, Afghanistan,4.4
2002-01-03T07:05:27.670Z,36.088,70.687,129.3,6.2,us,2020-01-04T01:21:35.287Z,Hindu Kush region, Afghanistan,
2001-11-23T20:43:03.550Z,36.392,71.506,106.5,6.1,us,2020-01-04T01:16:09.503Z,Hindu Kush region, Afghanistan,
2001-02-25T02:21:59.590Z,36.424,70.881,202.5,6.2,us,2020-01-04T00:49:12.261Z,Hindu Kush region, Afghanistan,
2000-07-17T22:53:47.300Z,36.283,70.924,141.4,6.3,us,2020-01-03T23:59:37.594Z,Hindu Kush region, Afghanistan,
2000-05-12T23:10:29.980Z,35.975,70.657,107.7,6.3,us,2020-01-03T23:50:47.926Z,Hindu Kush region, Afghanistan,
2000-01-19T07:09:33.580Z,36.372,70.379,206.9,6,us,2020-01-03T23:42:11.059Z,Hindu Kush region, Afghanistan,
2010-08-22T10:22:58.000Z,37.24,19.95,24,5.5,us,2016-11-10T02:32:14.759Z,Ionian Sea,,
2009-11-03T05:25:08.130Z,37.504,20.491,10,5.8,us,2020-01-04T07:18:36.519Z,Ionian Sea,,
2009-02-16T23:16:38.500Z,37.13,20.78,15,5.5,us,2016-11-10T02:08:03.981Z,Ionian Sea,,
2006-04-12T16:52:01.200Z,37.61,20.95,19,5.7,us,2020-02-06T20:56:45.014Z,Ionian Sea,,
2006-04-11T17:29:28.400Z,37.68,20.91,18,5.5,us,2020-02-06T20:56:32.173Z,Ionian Sea,,
2006-04-11T00:02:41.500Z,37.64,20.92,18,5.5,us,2020-02-06T20:56:19.793Z,Ionian Sea,,
